Metrics,1,2,3,4,5,6,7,8,9
Train task,"['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['GATA2', 'GATA2_copy']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['SPI1', 'SPI1_copy']","['SPI1', 'SPI1_copy']"
Valid task,"['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']"
Test task,"['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']"
Train epoch 1 loss,143.9839192278245,317.3022367814008,110.14067369348862,186.7235438387159,202.0728057001678,158.14882251578317,189.76768194534642,320.4704040451618,239.0843961351267
Valid epoch 1 loss,91.8131612141927,183.77727127075195,93.37529789317738,183.22476145426432,149.7659149169922,126.04510706121272,106.12728678385416,178.81864833831787,95.18380269137296
Train epoch 2 loss,80.47006144243129,130.44602091172163,72.78221741844627,139.39467653086487,145.65989067185092,124.19931798585704,73.02340804258588,96.05373540646384,66.90974277657256
Valid epoch 2 loss,69.0065818786621,133.88198614120483,63.4385817267678,122.19584986368815,131.93882942199707,99.71786273609509,65.66452471415202,123.80380296707153,47.33056657964533
Train epoch 3 loss,65.91576154091779,85.3497150365044,61.275586520924286,117.83721354309942,128.15160090486768,113.34664766553422,49.401952558948146,54.541099803915095,42.6692512360755
Valid epoch 3 loss,61.29423472086589,120.54410409927368,52.342417456886984,90.01658935546875,119.05873203277588,81.68881936506791,57.132733790079754,117.77514266967773,38.92254786057906
Train epoch 4 loss,59.99137579693514,68.9623774360208,56.41771223965813,106.83956769486548,116.52969962106624,106.71879889259876,41.47850654734571,43.92276849107766,37.095731626373365
Valid epoch 4 loss,56.93742421468099,115.25658750534058,46.761206193403765,76.30430018107096,111.30827856063843,73.73861260847612,53.31733614603679,117.26295185089111,35.16424508528276
Train epoch 5 loss,56.01139729163226,60.64823139415068,53.238502488416785,102.60293665066571,109.80963629064425,102.68216651594135,36.91578979113557,38.749146662634004,34.377174131331905
Valid epoch 5 loss,53.2730406443278,112.1152400970459,41.94568885456432,72.66027348836263,106.30788087844849,69.50980169122869,50.97197901407878,115.21122550964355,33.119248606941916
Train epoch 6 loss,52.89937111910652,55.328787453034344,50.73462010832394,100.19602332316654,105.40471520222408,100.04575987265143,34.303361504604446,35.49178471340435,32.902214869080346
Valid epoch 6 loss,50.7374828338623,109.33705425262451,38.89889214255593,69.11678797403971,103.05906772613525,59.306157632307574,49.44232343037923,112.15229558944702,32.11035377329046
Train epoch 7 loss,50.56794326445635,51.805828164605536,48.82174828473259,98.88151002266038,102.79044030417859,98.33947555112167,32.86221264254662,33.62785299599319,32.16658987419185
Valid epoch 7 loss,48.823882293701175,106.24519777297974,37.526479807767004,67.54841016133626,100.69331550598145,59.671138069846414,48.39653981526693,112.41029977798462,31.690752549604937
Train epoch 8 loss,48.88550518540775,49.60441691735212,47.4446174958173,97.77669766923071,100.82084892165493,97.1231893620021,32.09499658721848,32.53799420491637,31.794112965131813
Valid epoch 8 loss,47.27712949117025,105.47238254547119,36.101158662275836,65.17972157796224,100.01914310455322,57.89089384945956,48.162411499023435,112.4640212059021,31.457523562691428
Train epoch 9 loss,47.68309070082272,48.17530654458439,46.43929236075457,97.04723669777454,99.3253377995021,96.01865338607573,31.732010048613063,31.956596156799467,31.568421205279254
Valid epoch 9 loss,46.243381627400716,104.72576951980591,34.41113289919767,63.197096761067705,98.15720653533936,48.416197776794434,47.78625780741374,110.08043718338013,31.35763441432606
Train epoch 10 loss,46.83739370458267,47.13428804453682,45.7195399649003,96.39890762114189,98.08504298035528,95.50584658770494,31.514442420183283,31.712946799493604,31.49685876718526
Valid epoch 10 loss,45.56117248535156,105.0776948928833,34.3222822709517,60.379363250732425,97.55977153778076,48.804560054432265,47.82266591389974,112.75094509124756,31.34842651540583
Test profile NLL,"92.134246, 38.512237","93.459851, 38.548950","91.735879, 38.326646","96.054012, 56.283058","97.167902, 62.347154","95.044155, 50.312271","104.007455, 38.103087","103.375804, 38.028500","104.150870, 38.221683"
Test profile cross entropy,"5.281368, 3.800170","5.299768, 3.791209","5.250075, 3.772838","5.722465, 4.891533","5.789017, 5.230733","5.672554, 4.540930","5.455441, 3.695558","5.447940, 3.703142","5.453638, 3.689521"
Test profile JSD,"0.289243, 0.391361","0.293639, 0.395743","0.290687, 0.397077","0.279161, 0.343950","0.283303, 0.359627","0.278637, 0.355012","0.336390, 0.431290","0.335031, 0.423746","0.337822, 0.436009"
Test profile Pearson,"0.230777, 0.206886","0.222116, 0.204449","0.224488, 0.205573","0.303184, 0.201786","0.296401, 0.153923","0.305797, 0.197366","0.138757, 0.199171","0.141277, 0.200761","0.137225, 0.198794"
Test profile Spearman,"0.338940, 0.134193","0.310502, 0.149536","0.346835, 0.136951","0.337909, 0.165065","0.319816, 0.097731","0.340413, 0.136965","0.107303, 0.126901","0.113841, 0.133006","0.095621, 0.115692"
