Metrics,1,2,3,4,5,6,7,8
Train task,['GATA2'],['GATA2'],['GATA2'],['GATA2'],['SPI1'],['SPI1'],['SPI1'],['SPI1']
Valid task,['GATA2'],['GATA2'],['SPI1'],['SPI1'],['GATA2'],['GATA2'],['SPI1'],['SPI1']
Test task,['GATA2'],['SPI1'],['GATA2'],['SPI1'],['GATA2'],['SPI1'],['GATA2'],['SPI1']
Train epoch 1 loss,171.71151496994662,194.12244082168795,167.94225236059916,172.87819596411478,261.990072420328,175.10406871833425,195.71156110857973,725.7817249864635
Valid epoch 1 loss,153.86807441711426,165.38316917419434,146.05916942249644,185.9608716097745,154.78503227233887,172.9338836669922,134.71205035122958,322.4712600708008
Train epoch 2 loss,152.5325626856844,163.40681307080766,140.31878049608687,145.7177412006217,116.41735375281608,89.42786679409518,113.94331979279471,268.68420606556504
Valid epoch 2 loss,142.96173286437988,150.15272903442383,127.23201855746183,150.17874735051936,131.5902328491211,132.77089500427246,95.96793400157581,169.27626939253375
Train epoch 3 loss,140.68048590001925,150.31111467388314,129.91860843712175,132.7364860857037,80.96767297121558,64.37923835527779,84.4272779710222,141.18374123903786
Valid epoch 3 loss,133.0871868133545,141.23666191101074,110.66299473155628,124.33315242420544,125.82825946807861,122.64755439758301,74.09865812821822,96.96126903187145
Train epoch 4 loss,131.15113551180127,139.52800310161751,122.27437247692698,123.01070866114657,66.27271561575408,57.22438128631894,67.55780548624473,84.47976059488731
Valid epoch 4 loss,125.05386352539062,132.34039688110352,98.74303540316495,104.17553814974698,123.6854305267334,120.79353713989258,61.29463559930975,67.44587915593928
Train epoch 5 loss,123.96924569573201,130.85369797827494,116.63153699418189,115.67708974489024,57.436914916085726,52.862385438220336,57.644845414869856,61.84865188598633
Valid epoch 5 loss,119.18373584747314,123.57206058502197,89.66521176424894,91.26965886896306,120.62299633026123,119.73302745819092,53.83227521722967,55.037317449396305
Train epoch 6 loss,117.39822591862209,123.26920630226672,112.54324824373487,110.62387718952877,50.85096712395696,49.039849800638635,51.217965607595914,52.5327344271216
Valid epoch 6 loss,114.04997825622559,118.27628326416016,84.07296891645952,79.7243915904652,118.60972309112549,118.25625324249268,48.36674828962846,49.12189535661177
Train epoch 7 loss,112.70954798308897,117.34484927755007,108.87220248370103,106.66868688019228,45.984309413645526,45.66854023697353,46.73307652992777,47.395936909288466
Valid epoch 7 loss,109.76658630371094,113.65599822998047,79.80649670687589,70.6306880604137,116.13247966766357,117.82494068145752,44.64732707630504,45.0443092692982
Train epoch 8 loss,108.9484687052982,112.77768395652234,105.768203090614,103.88516493246588,42.401972685710035,42.65095603111947,43.28720479908556,43.70859278310643
Valid epoch 8 loss,106.73527526855469,109.32395839691162,72.22834049571644,70.29019407792525,116.18299007415771,116.81258964538574,41.65738955411044,41.81152066317472
Train epoch 9 loss,105.94308718829087,109.11066340056944,103.62574982978929,101.62267324958049,39.73617142025787,40.09437398627253,40.564084874521384,40.73934268007184
Valid epoch 9 loss,104.12186431884766,106.64356231689453,69.26708186756481,66.17070614207874,114.23443603515625,114.87446403503418,39.10551088506525,39.20871162414551
Train epoch 10 loss,103.87051144452163,106.29178597893514,101.77624769613776,99.8992608298718,37.65806870413299,37.990873072407034,38.396524939206564,38.3872656302877
Valid epoch 10 loss,102.31680297851562,104.61447525024414,67.3722542849454,64.11689082058993,114.0419569015503,114.56822967529297,37.187382437966086,37.023341092196375
Test profile NLL,100.142506,77.850721,99.749082,60.151222,107.270942,42.503810,108.142250,42.422780
Test profile cross entropy,6.088676,6.077986,5.998751,5.106702,5.796517,4.086060,5.848833,4.088030
Test profile JSD,0.282155,0.350105,0.283980,0.348956,0.332180,0.361207,0.334137,0.362001
Test profile Pearson,0.307434,0.110573,0.297052,0.182621,0.131101,0.216493,0.127251,0.215424
Test profile Spearman,0.331743,0.155059,0.316502,0.140275,0.108182,0.157615,0.107222,0.140490
Test profile MSE,0.000004,0.000005,0.000004,0.000007,0.000005,0.000049,0.000005,0.000048
Test count Pearson,0.175665,0.493009,0.249555,0.849773,0.414086,0.939836,0.410721,0.913688
Test count Spearman,0.179896,0.480431,0.237453,0.925790,0.420677,0.997850,0.412719,0.972123
Test count MSE,0.644029,0.769363,0.566166,0.765725,0.862778,0.039835,0.802524,0.063203
